GridID,NextDownID,Length
481185,481186,0.241
481206,481186,0.2
481224,481186,0.424
481168,481187,0.1
481186,481187,0.241
480909,481200,2.049
481025,481200,1.124
481150,481203,0.3
481166,481203,0.783
480969,481204,2.156
481205,481204,2.731
480976,481217,1.607
481130,481217,1.249
481183,481221,0.383
481220,481221,1.631
481089,481222,2.414
481137,481222,0.541
481068,481223,1.749
481312,481223,1.107
481147,481241,0.624
481181,481241,0.341
480897,481242,2.266
481201,481242,0.783
480809,481243,2.824
481093,481243,1.19
480929,481244,2.721
481094,481244,0.983
481120,481245,0.841
481261,481245,0.241
481139,481246,0.949
481225,481246,0.1
481217,481260,0.283
481259,481260,0.907
481034,481275,1.849
481291,481275,2.066
480977,481288,2.68
481060,481288,1.566
481167,481290,3.449
481243,481290,0.424
481246,481291,0.4
481292,481291,0.841
481221,481299,0.907
481310,481299,1.007
481245,481301,0.483
481273,481301,1.183
481152,481303,1.024
481302,481303,0.3
481334,481304,0.866
481346,481304,0.1
481244,481312,0.666
481330,481312,0.924
481314,481313,0.141
481332,481313,2.48
480930,481314,3.931
481096,481314,1.483
481241,481326,0.683
481271,481326,1.707
481203,481329,1.049
481311,481329,0.583
481119,481330,3.363
481366,481330,0.441
481095,481331,2.838
481313,481331,1.083
481547,481332,2.256
481548,481332,0.341
480910,481340,3.073
481058,481340,2.049
481299,481344,0.924
481343,481344,0.983
481274,481345,2.107
481301,481345,0.341
481359,481346,1.349
481360,481346,0.1
481242,481353,0.883
481327,481353,0.783
481222,481355,0.941
481356,481355,5.097
481149,481364,1.566
481357,481364,0.141
481418,481366,0.741
481419,481366,1.349
481303,481381,0.683
481397,481381,0.624
481272,481394,1.066
481365,481394,0.483
481187,481395,1.931
481380,481395,1.241
481247,481396,1.324
481358,481396,0.341
481420,481397,1.566
481463,481397,0.483
481204,481417,2.073
481290,481417,1.273
481450,481419,0.583
481483,481419,0.283
481421,481420,1.949
481439,481420,0.4
481497,481421,0.583
481513,481421,1.366
481260,481426,1.814
481413,481426,1.424
480771,481436,4.838
480825,481436,4.456
481087,481438,2.59
481344,481438,1.79
481382,481440,0.566
481451,481440,1.107
481045,481446,4.236
481200,481446,1.907
481329,481449,0.983
481379,481449,1.307
481288,481456,3.756
481353,481456,1.249
481341,481457,1.149
481437,481457,0.383
481393,481458,0.541
481459,481458,0.2
481345,481461,1.024
481460,481461,1.89
481333,481462,1.207
481381,481462,1.549
481496,481463,1.431
481512,481463,0.724
481428,481464,0.383
481440,481464,0.783
481355,481479,1.166
481480,481479,1.549
481484,481483,0.683
481511,481483,0.141
481535,481485,1.583
481536,481485,0.683
481481,481494,0.141
481482,481494,0.1
481331,481495,2.538
481395,481495,1.59
481427,481497,0.783
481485,481497,1.066
481426,481506,1.549
481505,481506,2.031
481328,481508,2.873
481507,481508,0.583
481492,481509,0.141
481508,481509,0.641
481664,481513,1.024
481665,481513,0.424
481414,481519,1.124
481506,481519,0.641
481417,481521,1.431
481522,481521,1.349
481608,481522,1.241
481623,481522,0.241
481188,481523,2.749
481462,481523,0.807
481449,481533,0.741
481510,481533,0.883
481464,481536,0.907
481559,481536,0.566
481457,481546,0.866
481532,481546,1.224
481713,481547,0.724
481732,481547,1.024
481275,481548,3.163
481558,481548,1.29
481364,481556,1.749
481509,481556,1.366
481461,481557,0.924
481472,481557,2.19
481586,481558,0.783
481625,481558,3.356
481600,481559,0.5
481610,481559,1.866
481537,481560,0.2
481549,481560,0.141
481519,481571,0.483
481617,481571,1.831
481520,481573,0.483
481574,481573,0.5
481396,481575,2.066
481626,481575,0.783
481354,481584,2.131
481447,481584,1.931
481438,481585,1.724
481479,481585,4.28
481575,481586,3.69
481598,481586,3.504
481498,481587,0.907
481560,481587,0.241
481523,481599,0.907
481609,481599,1.407
481415,481605,1.724
481455,481605,1.531
481458,481606,1.607
481556,481606,0.983
481521,481607,1.19
481534,481607,0.783
481597,481608,0.383
481641,481608,0.141
481775,481609,0.1
481970,481609,2.19
481550,481611,3.897
481561,481611,0.766
481571,481618,0.866
481635,481618,1.166
481530,481619,0.783
481618,481619,0.1
481416,481620,2.256
481456,481620,1.773
481493,481622,1.931
481533,481622,0.824
481996,481625,1.366
482044,481625,2.031
481599,481626,0.883
481643,481626,4.031
481681,481635,0.2
481697,481635,0.483
481572,481640,0.624
481639,481640,0.441
481648,481641,0.3
481649,481641,1.949
481557,481642,0.641
481624,481642,0.741
482200,481643,1.931
482206,481643,3.031
481703,481649,0.741
481727,481649,0.483
481587,481650,0.5
481627,481650,0.483
481494,481662,1.931
481661,481662,0.983
481478,481669,1.666
481670,481669,0.2
481637,481670,0.624
481685,481670,0.683
481640,481671,1.307
481699,481671,1.524
481711,481671,0.283
481585,481672,0.866
481671,481672,2.331
481606,481673,0.541
481674,481673,0.641
481573,481674,1.631
481700,481674,4.956
481619,481682,1.607
481698,481682,0.741
481446,481683,3.28
481710,481683,0.241
481326,481684,3.704
481340,481684,3.397
481621,481687,1.324
481673,481687,0.141
481607,481689,0.683
481688,481689,4.86
481829,481698,1.807
481830,481698,1.166
481686,481699,1.066
481770,481699,0.724
481394,481700,2.731
481701,481700,0.641
481702,481701,0.141
481712,481701,0.766
481576,481705,1.69
481704,481705,1.624
481745,481710,1.566
481746,481710,1.324
481749,481713,0.141
481774,481713,0.641
481499,481714,1.949
481514,481714,2.149
481691,481715,0.383
481734,481715,2.29
481495,481729,2.68
481773,481729,2.049
481808,481734,0.441
481840,481734,0.641
481531,481744,2.031
481682,481744,1.166
481813,481745,1.407
481831,481745,1.466
481932,481746,0.2
481947,481746,0.241
481642,481748,1.007
481747,481748,0.683
481588,481750,1.449
481650,481750,0.866
481780,481751,0.8
481806,481751,1.066
481465,481752,4.487
481751,481752,0.241
481660,481768,0.924
481744,481768,0.683
481584,481769,1.914
481620,481769,3.846
481730,481773,0.2
481799,481773,2.756
481731,481774,0.824
481819,481774,0.341
481778,481779,0.6
481804,481779,1.007
481779,481780,0.6
481805,481780,0.666
481752,481782,0.441
481781,481782,0.1
481651,481783,1.307
481705,481783,0.766
